,Channel Name,Video Name,URL
0,New York Post,Tiger shark charges unsuspecting swimmer in chilling drone video | New York Post,https://www.youtube.com/watch?v=N1tdmw6foIM
1,Storyful Viral,Drone Captures Shark Coming Close to Swimmers on WA Coast,https://www.youtube.com/watch?v=qCwmAO9jEAg
2,Die Hard Fishing,EPIC Drone Footage of GREAT WHITE SHARKS Along California Coastline,https://www.youtube.com/watch?v=9NC7BQY7Hrg
3,The Rogue Droner,WHITE SHARK STALKS SURFERS - Shark Drone Footage,https://www.youtube.com/watch?v=adOq_F7SMPQ
4,The Lateral Line,"Harbour full of Great White Sharks. Epic White Shark footage, Drone and Under Water.",https://www.youtube.com/watch?v=SxJofoHrcqs
5,Discovery,Drone Spots Shark Hunting Seal | Shark Week,https://www.youtube.com/watch?v=XtSAnt2HnhU
6,Storyful Viral,Drone Footage Captures Tiger Shark Roaming Close to Swimmers in Miami's South Beach Shore,https://www.youtube.com/watch?v=14SjsqjgvII
7,Matt Smith,Kayak Shark Encounter with drone footage.,https://www.youtube.com/watch?v=evh2pQCSzDo
8,Matt Larmand,drone footage of great white shark swimming at full speed,https://www.youtube.com/watch?v=S5f-nyZIU8Y
9,The Rogue Droner,WHITE SHARK HAUNTS SURFERS - Shark Drone Footage,https://www.youtube.com/watch?v=5TtCt_iNWcA
10,The Daily Jaws,"First ever drone footage of Orcas killing Great White shark (South Africa, 2022)",https://www.youtube.com/watch?v=1WRpgMUXrgE
11,TheMalibuArtist,Best Great White Shark Drone Footage of 2020 (Narrated),https://www.youtube.com/watch?v=Ile5NS7ucec
12,TheMalibuArtist,Best Great White Shark Drone Footage 2022 (Narrated),https://www.youtube.com/watch?v=vbJaP1jq9BM
13,Courtland Hunt,Drone Footage of Bull Shark attack on Spearfishing Team | Mavic Pro,https://www.youtube.com/watch?v=NKGObTK9irw
14,The Stork,Drone shark footage,https://www.youtube.com/watch?v=q2U3gjwJfS4
15,Jason Leppan,"Great White Shark drone footage, East London, South Africa",https://www.youtube.com/watch?v=z3L5Im8mSPw
16,Storyful Viral,Drone Footage Captures Shark Lurking Beneath Paddle Boarder in North Avoca Beach,https://www.youtube.com/watch?v=w-r89DB3RGM
17,gashpilot,Maldives Killer Shark attack drone footage,https://www.youtube.com/watch?v=Ee4cx0ancyQ
18,Brendan Buckley,"What's in the Water - Cape Cod Drone Footage - Sharks, Seals, Whales, and More 4K",https://www.youtube.com/watch?v=eRngbXwP1yU
19,Storyful Viral,Drone Footage Shows Tiger Shark Swimming Close to Beachgoers,https://www.youtube.com/watch?v=YSNO-hG_ywM
20,To Arnhem Land And Back,Bull Shark swims by huge Saltwater Crocodile - 4K Drone Footage -,https://www.youtube.com/watch?v=TqFHXcLsyt4
21,White Shark Video,"4K Drone Footage of Great White Sharks in Guadalupe, Mexico",https://www.youtube.com/watch?v=QgQcIHSdma4
22,Crazy Nature,HUGE GREAT WHITE SHARK Encounters Surfers in South Africa Drone Protection Footage,https://www.youtube.com/watch?v=2_HfdtljBKk
23,The Rogue Droner,WHITE SHARK HUNTS DOG OWNERS - Shark Drone Footage,https://www.youtube.com/watch?v=8dt2VkVVWlk
24,The Sun,Drone captures shark closing in on swimmers at beach in Perth #shorts,https://www.youtube.com/shorts/eSE9aJ_OxQM
25,WILD BRAWL PRODUCTIONS,SHARK KILLS WHALE | Drone Footage Of A Great White Shark Killing A 33 Ft Humpback Whale,https://www.youtube.com/watch?v=ACEn-ZZ_b04
26,The Rogue Droner,WHITE SHARK STALKS LONE SURFER - Shark Drone Footage,https://www.youtube.com/watch?v=3VaPTsf35Zw
27,The Age & Sydney Morning Herald,"Drone spots enormous great white shark in Esperance, Western Australia",https://www.youtube.com/watch?v=D72VGF0tWXo
28,10 Tampa Bay,Drone video shows frenzy of sharks off the coast of Florida,https://www.youtube.com/watch?v=_Rhdoxku_Hg
29,Tovi Sonnenberg,Sharks In The Hamptons | Drone Footage,https://www.youtube.com/watch?v=fukfYbmgEcs
30,Kyle Soto,Relaxing Sharks Swimming In The Waves. 20 minutes of HD Drone footage and Natural Ambient Sounds.,https://www.youtube.com/watch?v=hW3H4195o28
